Address,Date,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Info
"10023",04/04/2015,44,60,51,30.7,50.57,,20,43.8,280.33,0,4.17,,9.1,49.7,1009,"Mist, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",04/05/2015,42.1,60.2,50.1,23.1,35.12,,22.6,36.9,212.25,0,0,,10,43.7,1021.1,"",40.775921,-73.982607,"10023, USA",""
"10023",04/06/2015,43,61.9,51.6,35.8,55.89,,8.2,,93.95,0,0,,10,1.1,1023.8,"",40.775921,-73.982607,"10023, USA",""
"10023",04/07/2015,43.1,61.9,53,41,65.7,,12.7,29.8,89.36,0.1,33.33,,8.6,91.4,1022.8,"Mist, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",04/08/2015,37.2,44,41.7,31.9,69.04,,16,,70.04,0,8.33,,9.5,100,1026.4,"Mist, Light Drizzle, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",04/09/2015,37.1,42.2,39.2,34.2,82.46,,12.8,,72.33,0,0,,8.5,100,1025.3,"Mist, Light Drizzle, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",04/10/2015,39,56,46.3,43,88.24,,10.1,,152.29,0.2,25,,5.3,94.7,1014,"Mist, Light Drizzle, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",04/11/2015,46.1,56,53.1,31.6,45.17,,25.9,,293.29,0,0,,9.9,5.7,1014.9,"",40.775921,-73.982607,"10023, USA",""
"10023",04/12/2015,43,65.9,52,27.7,40.92,,8,,245.5,0,0,,10,0.3,1025.4,"",40.775921,-73.982607,"10023, USA",""
"10023",04/13/2015,50,68,58.9,36.5,43.71,,14.8,,196.79,0,0,,10,1.4,1025,"",40.775921,-73.982607,"10023, USA",""
"10023",04/14/2015,55.1,65,60.5,40.6,51.28,,8,,206,0,4.17,,10,57.2,1020.1,"Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",04/15/2015,51.2,70.9,61.3,21.1,23.35,,17.2,,248.33,0,0,,10,1.4,1022,"",40.775921,-73.982607,"10023, USA",""
"10023",04/16/2015,51.9,62,57,23.8,29.95,,11,,123.5,0,0,,10,1.6,1029.3,"",40.775921,-73.982607,"10023, USA",""
"10023",04/17/2015,55.1,70.1,61.9,50,65.86,,12.7,,251.17,0.1,8.33,,9.5,75.5,1017.3,"Mist, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",04/18/2015,58.9,79,68.4,40.5,38.95,,9.9,,277.09,0,0,,10,9,1014,"",40.775921,-73.982607,"10023, USA",""
"10023",04/19/2015,47.9,65,56.1,28.5,35.83,,13.8,,98.62,0,0,,10,1.5,1022.3,"",40.775921,-73.982607,"10023, USA",""
"10023",04/20/2015,47,56.1,51.3,47.9,88.56,,13.8,,95.46,1.3,45.83,,4.5,80.5,1009.8,"Mist, Rain, Fog, Heavy Rain, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",04/21/2015,52.1,64.2,57.4,40.7,62.5,,18.3,,251.39,0.3,37.5,,7.3,48.9,1003.8,"Mist, Rain, Fog, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",04/22/2015,51.2,69.1,57.1,35.7,45.9,,19.7,,207.74,0.1,16.67,,9.6,41.6,1005.4,"Rain, Thunderstorm, Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",04/23/2015,42.1,50.1,45.6,24.5,44.15,,16.2,,286.79,0,0,,10,49.3,1007,"Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",04/24/2015,38.9,51.1,43.2,18.1,36.56,,19.7,,306.25,0,0,,10,61.7,1011.2,"",40.775921,-73.982607,"10023, USA",""
"10023",04/25/2015,38,60.1,48.3,22.8,38.29,,13.4,,265.17,0,0,,10,0.9,1009.7,"",40.775921,-73.982607,"10023, USA",""
"10023",04/26/2015,46.9,61.9,54.5,26.7,34.77,,14.7,,142.43,0,0,,10,37.3,1005,"",40.775921,-73.982607,"10023, USA",""
"10023",04/27/2015,48.8,61,54.5,30.1,39.6,,15.7,,313.79,0,0,,10,83.9,1004.8,"",40.775921,-73.982607,"10023, USA",""
"10023",04/28/2015,50.1,70,60.2,34.5,40.22,,15.1,29.8,207.79,0,0,,10,38,1007.2,"",40.775921,-73.982607,"10023, USA",""
"10023",04/29/2015,52.9,77,63.6,37.6,40.95,,11.4,31.1,256.54,0,0,,10,15.7,1005.5,"",40.775921,-73.982607,"10023, USA",""
"10023",04/30/2015,47.9,65.8,55.5,38.4,54.39,,12,,88.88,0,0,,10,31.6,1008.9,"",40.775921,-73.982607,"10023, USA",""
"10023",05/01/2015,48.8,61,53.2,38.9,58.77,,9.2,,116.75,0,0,,10,83.4,1014.3,"",40.775921,-73.982607,"10023, USA",""
"10023",05/02/2015,48.8,70.9,55.3,39.8,57.35,,11.4,,161.71,0,0,,10,26.7,1015.2,"",40.775921,-73.982607,"10023, USA",""
"10023",05/03/2015,51.1,78.1,63.3,37.2,40.01,,12.4,,207.71,0,0,,10,8.4,1018.3,"",40.775921,-73.982607,"10023, USA",""
"10023",05/04/2015,56.9,83.9,71,44.4,42.46,81.5,10.5,,144.67,0,0,,9.5,4.1,1021.4,"",40.775921,-73.982607,"10023, USA",""
"10023",05/05/2015,65.9,83.8,73.3,49.9,44.07,82.4,11.5,,226.91,0,0,,10,31.1,1021.6,"",40.775921,-73.982607,"10023, USA",""
"10023",05/06/2015,61,72.9,66.9,41.6,40.17,,12.6,,84.43,0,0,,10,64.1,1024,"Light Rain",40.775921,-73.982607,"10023, USA",""
"10023",05/07/2015,56.8,79,66.2,44.2,47.86,,7.1,,159.85,0,0,,10,0.4,1022.3,"Fog",40.775921,-73.982607,"10023, USA",""
"10023",05/08/2015,56,82,67.2,52.2,61.91,81.4,13.9,,153.17,0,0,,6.7,1,1020.7,"Mist, Fog, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",05/09/2015,56.9,69,61.9,55.2,78.95,,7,,89.74,0,4.17,,5.5,90.8,1024.8,"Mist, Light Drizzle, Fog, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",05/10/2015,61,83,71.5,61.2,71.23,84.8,14.9,34.4,192.68,0,0,,7.7,60.1,1022.2,"Mist, Fog, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",05/11/2015,70.9,83,74.7,65.1,72.77,84.8,14.8,,189.12,0,0,,8.4,44.4,1018.7,"Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",05/12/2015,68,84.9,76.4,58.7,58.98,84,19.6,39,237.87,0,0,,8.7,36.8,1010.4,"Mist, Fog, Light Rain, Smoke Or Haze",40.775921,-73.982607,"10023, USA",""
"10023",05/13/2015,55.1,68.1,61.9,38.6,42.23,,15.7,32.2,311.54,0,0,,10,49,1017.9,"",40.775921,-73.982607,"10023, USA",""
"10023",05/14/2015,50.1,73.1,60.8,32.8,37.78,,11,32.2,240.38,0,0,,10,0.7,1027.1,"",40.775921,-73.982607,"10023, USA",""
